Trial Number,value now,Delay,Value later,Value later delay,Response,reaction time,SubID,Cond
31,20,0,37,1,1,1.9592,10,1
32,20,0,27,122,1,1.6502,10,1
33,20,0,31,7,1,1.6168,10,1
34,20,0,37,13,1,0.9574,10,1
35,20,0,69,13,1,0.9963,10,1
36,20,0,23,31,0,4.0122,10,1
37,20,0,21,122,0,1.4208,10,1
38,20,0,41,31,1,1.9125,10,1
39,20,0,25,58,1,4.2629,10,1
40,20,0,23,58,0,3.9687,10,1
41,20,0,31,31,1,1.4116,10,1
42,20,0,51,1,1,1.2749,10,1
43,20,0,37,7,1,1.4996,10,1
44,20,0,29,58,1,1.5277,10,1
45,20,0,45,31,1,1.1231,10,1
46,20,0,25,122,1,2.0609,10,1
47,20,0,69,7,1,0.8807,10,1
48,20,0,57,31,1,0.9875,10,1
49,20,0,29,7,1,1.3153,10,1
50,20,0,51,13,1,1.1243,10,1
51,20,0,23,122,0,1.9271,10,1
52,20,0,77,7,1,1.0725,10,1
53,20,0,27,31,1,1.2362,10,1
54,20,0,21,13,0,1.7356,10,1
55,20,0,41,58,1,0.8482,10,1
56,20,0,33,122,1,2.1002,10,1
57,20,0,41,1,1,0.8315,10,1
58,20,0,27,7,1,1.1397,10,1
59,20,0,25,31,1,1.8416,10,1
60,20,0,31,58,1,4.166,10,1
61,20,0,69,31,1,2.4471,10,1
62,20,0,45,1,1,1.6932,10,1
63,20,0,25,1,1,1.0158,10,1
64,20,0,51,122,1,1.22,10,1
65,20,0,41,7,1,2.6701,10,1
66,20,0,27,1,1,1.2093,10,1
67,20,0,33,58,1,1.1583,10,1
68,20,0,21,7,1,1.0152,10,1
69,20,0,77,13,1,0.9001,10,1
70,20,0,69,122,1,1.3971,10,1
